idiom,freq
出墙红杏,7
出奇致胜,7
出言无状,7
凿凿有据,7
刀刀见血,7
分外眼明,7
切切私语,7
则以学文,7
别出手眼,7
别无他用,7
前尘影事,7
前言往行,7
前车覆,7
劈风斩浪,7
功成业就,7
功过相抵,7
动魄惊心,7
劳而少功,7
势如水火,7
势如燎原,7
勿谓言之不预也,7
匕首投枪,7
匡时济世,7
匹夫无罪,7
千态万状,7
千里马常有,7
半生半熟,7
华胥梦,7
卑不足道,7
卓而不群,7
南国佳人,7
南征北伐,7
博而寡要,7
厕身其间,7
又要马儿不吃草,7
发聋振聩,7
口出秽言,7
口吐狂言,7
可庆可贺,7
可惊可喜,7
司马昭之心路人皆知,7
吃硬不吃软,7
吃辛受苦,7
各从其志,7
各尽其才,7
同工异曲,7
同心之言,7
同气连枝,7
同生同死,7
同衾共枕,7
名不就,7
后退无门,7
向上一路,7
吞舟之鱼,7
听见风就是雨,7
吴越同舟,7
吹面不寒杨柳风,7
呆如木鸡,7
呕尽心血,7
命运多蹇,7
和而不流,7
咎有应得,7
咬定牙关,7
咳声叹气,7
哭哭闹闹,7
唾面自干,7
嗜酒成癖,7
噩梦初醒,7
囚首垢面,7
四海升平,7
四白落地,7
团结紧张,7
固其根本,7
国势阽危,7
国家之急,7
国富兵强,7
囿于成见,7
圆颅方趾,7
在家出家,7
地广人众,7
地狭人稠,7
垂手恭立,7
垂手而得,7
垂拱而治,7
壁立万仞,7
声光电化,7
夔一足,7
夕餐秋菊,7
多情多义,7
大事渲染,7
大度包容,7
大敞四开,7
大有其人,7
大有径庭,7
大树将军,7
大破大立,7
大腹贾,7
大酒大肉,7
大马金刀,7
天下之志,7
天听自我民听,7
天崩地塌,7
天理昭彰,7
天视自我民视,7
天香国色,7
太白遗风,7
夷夏之防,7
奉为至宝,7
奔逸绝尘,7
好心不得好报,7
好离好散,7
好高务远,7
如兄如弟,7
如入芝兰之室,7
如入鲍鱼之肆,7
如堕烟海,7
如日东升,7
如痴如梦,7
如苍生何,7
娓娓不倦,7
婉若游龙,7
婷婷袅袅,7
子继父业,7
孤身只影,7
孩提之童,7
宁可玉碎,7
宁死不辱,7
守正不阿,7
安如磐石,7
宝相庄严,7
宽怀大度,7
寂寂无闻,7
富国安民,7
寒往暑来,7
寡妇失业,7
寡情薄义,7
寸丝不挂,7
将无同,7
尊卑长幼,7
小姑独处,7
小时了了,7
尚付阙如,7
尺蠖之屈,7
屯积居奇,7
山肴野蔌,7
山间竹笋,7
山高水深,7
岁尾年头,7
岁月不居,7
岂容他人鼾睡,7
岗峦起伏,7
巧言如簧,7
巾帼须眉,7
布衣之交,7
席终人散,7
干打雷不下雨,7
年方弱冠,7
年高望重,7
并为一谈,7
并非儿戏,7
幸不辱命,7
应天顺人,7
应病与药,7
应运而出,7
度长絜大,7
庸俗浅薄,7
庸医杀人,7
开基创业,7
开山辟路,7
弃文就武,7
弃笔从戎,7
弓上弦,7
弥天大祸,7
强中更有强中手,7
当思来处不易,7
当时得令,7
形只影单,7
待月西厢,7
得步进步,7
得鱼忘筌,7
循环反复,7
心寒齿冷,7
心浮气燥,7
心绪恶劣,7
心腹之人,7
心荡神迷,7
忐忑不定,7
忙忙叨叨,7
忧道不忧贫,7
忧郁成疾,7
怀璧其罪,7
思想开小差,7
急不择言,7
急人之急,7
恍然而悟,7
恍然若失,7
恶梦初醒,7
恹恹欲睡,7
悉眉苦脸,7
悔之不及,7
悔罪自新,7
患难相助,7
患难相扶,7
悦目赏心,7
情深一往,7
情深如海,7
惊骇万状,7
惜寸阴,7
惨绿少年,7
惩忿窒欲,7
想见其人,7
惹一身臊,7
愀然不乐,7
愁肠寸断,7
愈出愈奇,7
意气扬扬,7
意气洋洋,7
感恩报德,7
愤恨不平,7
慌慌急急,7
慢条斯礼,7
戎马关山,7
成一家言,7
成事不说,7
成败论人,7
手不停披,7
手脚无措,7
手足胼胝,7
打蛇打七寸,7
执两用中,7
扫地以尽,7
承欢膝下,7
抽抽答答,7
招是惹非,7
招权纳贿,7
拟于不伦,7
择主而事,7
拿腔作势,7
拿腔作调,7
挂灯结彩,7
指东划西,7
指东打西,7
指天画地,7
指日可下,7
指鸡骂狗,7
挥毫落纸,7
挥汗成雨,7
捉贼捉赃,7
捋虎须,7
损有余而补不足,7
捶胸跺脚,7
捺着性子,7
描龙绣凤,7
插手其间,7
搓手跺脚,7
攻乎异端,7
攻势防御,7
放下屠刀立地成佛,7
放纵不羁,7
救兵如救火,7
救困扶危,7
敞胸露怀,7
敢死之士,7
文东武西,7
文无定法,7
文起八代之衰,7
斐然成章,7
斑斑可考,7
断发文身,7
断简残编,7
方面大员,7
无不如意,7
无全牛,7
无处下手,7
无头公案,7
无尽无穷,7
无耻谰言,7
无话即短,7
无遮大会,7
无隔宿之粮,7
既不能令,7
日暮途远,7
日月重光,7
旧人哭,7
时不我与,7
时移世变,7
旷古未闻,7
昂头阔步,7
明来暗往,7
明见万里,7
昏天暗地,7
星月交辉,7
春城无处不飞花,7
春宵一刻值千金,7
春来秋去,7
春风桃李,7
是非只为多开口,7
是非自有公论,7
昼夜兼行,7
暮色朦胧,7
曲意奉迎,7
曾参杀人,7
月下花前,7
月黑杀人,7
有以教我,7
有天无日,7
有家难奔,7
有所为而为,7
有死而已,7
有治人,7
有理不在声高,7
有生必有死,7
有进无出,7
服牛乘马,7
望峰息心,7
望洋向若,7
望门投止,7
朝不虑夕,7
朝章国故,7
本色当行,7
杀人盈野,7
杀鸡用牛刀,7
杜门不出,7
束手就缚,7
来回往复,7
杯中之物,7
极力讨好,7
果如所料,7
柴米夫妻,7
标奇立异,7
桀骜不训,7
梅妻鹤子,7
棋逢敌手,7
欣然自喜,7
歃血结盟,7
正其谊不谋其利,7
正合时宜,7
正酣之际,7
步履如飞,7
武艺出众,7
死地求生,7
死多活少,7
死有重于泰山,7
死生以之,7
残兵败卒,7
毒如蛇蝎,7
毫不介怀,7
毫无差异,7
民惟邦本,7
民无信不立,7
水泄不透,7
水满则溢,7
江心补漏,7
沁入肺腑,7
沉迷不悟,7
沥沥拉拉,7
沧海遗珠,7
沿门托钵,7
法外施仁,7
波光荡漾,7
泰山磐石,7
泼口大骂,7
流芳后世,7
流觞曲水,7
流风遗韵,7
济济多士,7
浑然无知,7
浮光跃金,7
消遥法外,7
涕泗滂沱,7
淡扫蛾眉,7
深根固本,7
深根固蒂,7
清茶淡饭,7
温润如玉,7
游戏三昧,7
渺不足道,7
溢光流彩,7
溥天之下,7
满座皆惊,7
满腹文章,7
满面风尘,7
漫天大谎,7
潜龙勿用,7
澄清天下,7
烈女不嫁二夫,7
焚林而田,7
煮鹤焚琴,7
熊经鸟申,7
熔古铸今,7
熟读深思,7
燕瘦环肥,7
燮理阴阳,7
爱之欲其生,7
爱无差等,7
爽然自失,7
犬马之力,7
独秀一枝,7
獭祭鱼,7
玄妙莫测,7
现世现报,7
珠围翠绕,7
瑞雪丰年,7
甘如饴,7
甘居中游,7
甜嘴蜜舌,7
用在一朝,7
由小见大,7
男女老小,7
画意诗情,7
略表寸心,7
疏食饮水,7
疾病相扶,7
疾首蹙额,7
痴心女子负心汉,7
白露为霜,7
白首之心,7
百不失一,7
百事如意,7
百兽率舞,7
百折千回,7
百犬吠声,7
皇天有眼,7
益人神智,7
盗名欺世,7
盛年不重来,7
目眦欲裂,7
目送归鸿,7
盲目从事,7
相去十万八千里,7
眉梢眼底,7
真情实事,7
眼泪洗面,7
知子莫若父,7
知恩报恩,7
知我罪我,7
短兵接,7
破题儿第一遭,7
确凿不移,7
碌碌无能,7
碧落黄泉,7
祖宗家法,7
祖宗成法,7
祭神如神在,7
祸至无日,7
福荫子孙,7
禽兽行,7
秀才人情,7
秉要执本,7
积毁销骨,7
称名道姓,7
稻谷飘香,7
窝里反,7
窥测时机,7
竭智尽忠,7
竹头木屑,7
笔补造化,7
等闲人物,7
箭如雨下,7
粉雕玉琢,7
粗具规模,7
精心结撰,7
精明老练,7
精进勇猛,7
系出名门,7
索然乏味,7
纳头便拜,7
纵虎归山,7
纷纭众说,7
细针密线,7
细针密缕,7
绝不食言,7
继之以死,7
绰绰有馀,7
维持家计,7
罄其所有,7
置身世外,7
羊羔美酒,7
美人香草,7
美言不信,7
羞与为伍,7
羽化成仙,7
羽翼已成,7
羿射九日,7
翻身作主,7
老少无欺,7
耳目聪明,7
耳聋眼瞎,7
耳闻目染,7
耿耿于心,7
聪明正直,7
肝胆欲裂,7
肠肥脑满,7
胆战心寒,7
背山面水,7
胡诌八扯,7
腾蛟起凤,7
膝行而前,7
自作孽不可活,7
自负不凡,7
臭名昭彰,7
舌剑唇枪,7
舌枪唇剑,7
花花太岁,7
花街柳巷,7
苦思焦虑,7
草率了事,7
荐贤举能,7
荒唐之言,7
荒村野店,7
莫把金针度与人,7
莫知所措,7
莺啼燕语,7
葱葱茏茏,7
蔼然仁者,7
蕞尔小国,7
虎入羊群,7
虎啸龙吟,7
虎穴龙潭,7
虎落平阳被犬欺,7
虎跃龙腾,7
虚无飘缈,7
蜜里调油,7
融融泄泄,7
蟒袍玉带,7
血流漂杵,7
衣衫褴缕,7
衣锦夜行,7
补苴罅漏,7
袖里乾坤,7
西风落叶,7
要言妙道,7
见不及此,7
见色起意,7
观望徘徊,7
观望风色,7
视之不见,7
视如珍宝,7
视若神明,7
视钱如命,7
解衣推食,7
触类而长,7
言之过甚,7
言必有中,7
计将安出,7
记问之学,7
访亲问友,7
诗酒风流,7
话里带刺,7
说短论长,7
请君莫奏前朝曲,7
诸亲好友,7
诸法实相,7
读书百遍,7
诿过于人,7
谄上欺下,7
谈天论地,7
豁然开悟,7
贵远贱近,7
起于累土,7
超以象外,7
越帮越忙,7
趋亦趋,7
足不出门,7
足吃足喝,7
跚跚来迟,7
跟随左右,7
路断人稀,7
跳到黄河也洗不清,7
身大力不亏,7
身强力大,7
车马盈门,7
轰堂大笑,7
轻财重义,7
迁客骚人,7
运笔如飞,7
进退出处,7
连三并四,7
迟疑观望,7
追踪决策,7
追魂夺命,7
逆天者亡,7
逸趣横生,7
遗恨千古,7
遭遇际会,7
避强击弱,7
邪不胜正,7
郊寒岛瘦,7
郑人买履,7
酒食征逐,7
采花酿蜜,7
重拾旧欢,7
重整家园,7
重重迭迭,7
金玉之言,7
金石之言,7
金石良言,7
钢打铁铸,7
钻之弥坚,7
铁画银钩,7
铜头铁额,7
锋芒不露,7
长林丰草,7
长篇大套,7
长驱直进,7
闭门不纳,7
闲情逸志,7
闻风响应,7
阴山背后,7
阶下之囚,7
际会风云,7
陈仓暗渡,7
降格相从,7
随俗浮沉,7
随波逐浪,7
隐忍不言,7
隐约其辞,7
雕章琢句,7
雨露之恩,7
青白眼,7
青胜于蓝,7
静默致哀,7
非分之念,7
面不改容,7
面如重枣,7
面黄饥瘦,7
韩柳欧苏,7
颟顸无能,7
风流俊俏,7
风清月白,7
风轻云淡,7
风雨凄凄,7
风靡天下,7
飘然若仙,7
飞鸿踏雪,7
马齿徒增,7
驽马十驾,7
骈四俪六,7
髀肉复生,7
鬼计多端,7
魂飞胆丧,7
鱼盐之利,7
鲁鱼亥豕,7
鲜廉寡耻,7
鲜衣美食,7
鸡声茅店,7
鸡飞狗叫,7
鸿鹄将至,7
鹊巢鸠居,7
黄河水清,7
黄泉之下,7
黯然告别,7
鼓噪一时,7
齿颊生香,7
龙生九子,7
一丝春意,6
一事不知,6
一人独吞,6
一去无踪,6
一双两好,6
一命归阴,6
一字值千金,6
一年被蛇咬,6
一无所取,6
一时名噪,6
一时风靡,6
一望无涯,6
一枝一节,6
一片赤心,6
一眚掩大德,6
一笑了事,6
一蟹不如一蟹,6
一言而尽,6
一路福星,6
一蹴而成,6
一镬之味,6
一隅之见,6
一鳞一爪,6
一鼓歼灭,6
一鼓而下,6
七碟八碗,6
万乘之尊,6
万人唾骂,6
万念俱寂,6
万马千军,6
三世因果,6
三人成虎,6
三分钟热度,6
三十六着,6
三姑六姨,6
三媒六聘,6
三年不成,6
三年怕井绳,6
三灾六难,6
三言两句,6
三顾草庐,6
不以文害辞,6
不作瓦全,6
不假外求,6
不先不后,6
不分畛域,6
不加可否,6
不可以示人,6
不可外传,6
不可沽名学霸王,6
不塞不流,6
不得不尔,6
不愤不启,6
不明不暗,6
不暇思索,6
不止不行,6
不知端倪,6
不知虚实,6
不知高低,6
不祧之祖,6
不稂不莠,6
不稼不穑,6
不绝如线,6
不肯苟同,6
不胜今昔之感,6
不胜其任,6
不蔓不枝,6
不见舆薪,6
不言而明,6
不足为法,6
不足齿数,6
不食烟火,6
与草木同腐,6
与鬼为邻,6
世代簪缨,6
世道人情,6
东床坦腹,6
东方圣人,6
东方未明,6
东瞧西望,6
东西南北人,6
东零西散,6
丢魂落魄,6
严肃活泼,6
丧师辱国,6
中心摇摇,6
丹心碧血,6
丹青妙笔,6
为丛驱爵,6
为善最乐,6
举袂成幕,6
久假不归,6
乍寒乍暖,6
乍寒乍热,6
乐极则悲,6
乘火打劫,6
九儒十丐,6
九死未悔,6
习非成是,6
乡举里选,6
书读百遍,6
买东买西,6
争城夺地,6
事出无因,6
事务纷繁,6
二人同心,6
二八年华,6
二桃杀三士,6
于我何有,6
云中白鹤,6
云树之思,6
云集响应,6
互不相涉,6
五冬六夏,6
五尺之僮,6
五百年前是一家,6
五羖大夫,6
五藏六府,6
五风十雨,6
井底蛙,6
井然有条,6
亡国之臣,6
亡秦必楚,6
交相为用,6
享之千金,6
亭亭而立,6
人多手杂,6
人大心大,6
人存政举,6
人心世道,6
人必自侮,6
人材辈出,6
人生何处不相逢,6
人生如寄,6
人老珠黄不值钱,6
人莫予毒,6
人言不足恤,6
人非生而知之,6
什袭珍藏,6
仁义之道,6
仁智各见,6
仁民爱物,6
仁者不忧,6
仆从如云,6
从吾所好,6
从小看大,6
他生未卜,6
令出法随,6
以古为鉴,6
以意为主,6
以蝼蚁之穴溃,6
仰不愧天,6
任性妄为,6
任运随缘,6
众口纷纭,6
优游岁月,6
优美绝伦,6
传之其人,6
传之无穷,6
传檄而定,6
传闻失实,6
传闻异辞,6
伯乐不常有,6
似懂不懂,6
低徊不已,6
何论魏晋,6
作古正经,6
作威福,6
使民以时,6
依法炮制,6
便把令来行,6
信而见疑,6
修真养性,6
倚官仗势,6
倾吐衷情,6
倾家破产,6
倾盖如故,6
倾耳细听,6
假以辞色,6
假模假样,6
假痴假呆,6
健壮如牛,6
傍花随柳,6
先决问题,6
先意承旨,6
光大门楣,6
入吾彀中,6
入国问俗,6
入宝山空手回,6
八方风雨,6
公堂对簿,6
兴奋若狂,6
兴尽而归,6
兴波作浪,6
兴致淋漓,6
兵少将寡,6
其臭如兰,6
养生送死,6
养虎自遗患,6
内疚神明,6
冒昧从事,6
冯唐易老,6
冲入云霄,6
冷讽热嘲,6
凛若冰霜,6
凭白无故,6
出众超群,6
出入相友,6
出师无名,6
击其惰归,6
刀下留情,6
分别部居,6
分而不离,6
列鼎而食,6
刚毅果决,6
创业未半,6
创家立业,6
判别真伪,6
利害相同,6
别妇抛雏,6
别开蹊径,6
别有肺肠,6
刻薄寡恩,6
前不巴村,6
前例可援,6
前功尽废,6
剜肉做疮,6
剥皮抽筋,6
剩水残山,6
割舍不得,6
功遂身退,6
加枝添叶,6
加油加醋,6
劳劳碌碌,6
势不可遏,6
勇敢果断,6
勇猛过人,6
勇而无谋,6
包举宇内,6
十病九痛,6
十目所视,6
十载寒窗,6
千人千面,6
千人所指,6
千思万虑,6
千条万绪,6
千载难遇,6
千金一掷,6
千金不换,6
千金之躯,6
半丝半缕,6
半截入土,6
半生潦倒,6
单人独骑,6
南橘北枳,6
卧冰求鲤,6
反面文章,6
发指眦裂,6
发言为诗,6
口似悬河,6
口福不浅,6
叩头作揖,6
只可智取,6
可喜可愕,6
司马青衫,6
吃喝不分,6
各事其主,6
各安生业,6
各得其宜,6
各擅所长,6
各臻其妙,6
合抱之木,6
合浦珠,6
同声一哭,6
同心戮力,6
同窗之情,6
名垂后世,6
名过其实,6
君子不器,6
君子爱人以德,6
听之不闻,6
吴头楚尾,6
吹法螺,6
吹灯拔蜡,6
呆滞无神,6
周密详尽,6
和风拂面,6
咬钢嚼铁,6
品貌端正,6
哑然失色,6
哽咽难言,6
啸聚山林,6
嗜痂成癖,6
囊萤映雪,6
四梁八柱,6
四气调神,6
四海皆兄弟,6
四维不张,6
国人皆曰可杀,6
国色天姿,6
地平天成,6
坐地虎,6
坚决不改,6
埋名隐姓,6
城府颇深,6
堕马髻,6
声如裂帛,6
声闻于天,6
壶中日月,6
夏雨雨人,6
夕惕若厉,6
夕阳晚照,6
外无救兵,6
多嘴饶舌,6
多易必多难,6
多闻阙疑,6
大奸似忠,6
大恩不言谢,6
大笔如椽,6
大而无用,6
大言欺人,6
大道多歧,6
大限将至,6
天下为家,6
天地之别,6
天地无私,6
天女下凡,6
天崩地解,6
天道好还,6
头童齿豁,6
头重脚轻根底浅,6
夺金挂银,6
好心没好报,6
好生面熟,6
如日方中,6
如汤沃雪,6
如蝇逐臭,6
如风过耳,6
妄下雌黄,6
妇人女子,6
妖妖娆娆,6
妨害治安,6
姗姗其来,6
婀娜妩媚,6
子女玉帛,6
孜孜矻矻,6
孝悌忠信,6
季布一诺,6
学不厌,6
学如逆水行舟,6
学无所用,6
学疏才浅,6
宏才大略,6
定之方中,6
宜男之相,6
家传户诵,6
家有千口,6
家给人足,6
容或有之,6
富国裕民,6
富贵功名,6
富贵尊荣,6
富贵浮云,6
察察为明,6
寻幽访胜,6
寻行数墨,6
寻踪觅迹,6
寿数已尽,6
封山造林,6
将门虎子,6
小德出入,6
尘头大起,6
尸山血海,6
尺寸之地,6
尺幅千里,6
尽信书则不如无书,6
尽瘁国事,6
局势扭转,6
层峦迭嶂,6
层见迭出,6
屋下架屋,6
屏声敛气,6
屏息不动,6
山中白云,6
山回路转,6
山头林立,6
山色湖光,6
山长水阔,6
山高月小,6
岁不我与,6
岂其然乎,6
岩穴之士,6
左眼跳财,6
巧语花言,6
差可比拟,6
已归道山,6
干劲冲天,6
平原旷野,6
平白无辜,6
年年有今日,6
年年有鱼,6
年深岁久,6
幸而免,6
广纳贤士,6
庞然巨物,6
度德量力,6
庸夫俗子,6
庸懦无能,6
开山之祖,6
开物成务,6
引喻失义,6
引颈就戮,6
张敞画眉,6
弱柳扶风,6
弹指顷,6
强作欢笑,6
强聒不舍,6
归了包堆,6
归心如箭,6
彬彬君子,6
径情直遂,6
待价而估,6
徒乱人意,6
得便宜卖乖,6
得失之间,6
得鱼而忘筌,6
微妙玄通,6
微服出访,6
微服察访,6
心中好笑,6
心如刀搅,6
心存魏阙,6
心寒胆战,6
心怀异志,6
心慈面善,6
心腹之疾,6
忙上加忙,6
忙中有错,6
忙中添乱,6
忧国忘家,6
怀山襄陵,6
怒火攻心,6
怕字当头,6
急人之难,6
急急如律令,6
怪诞不经,6
恨之切骨,6
悒悒不乐,6
悠游自得,6
情天恨海,6
情理难容,6
情真意挚,6
情见乎词,6
惊喜欲狂,6
惊慌万状,6
惊魂落魄,6
想望风采,6
愁眉锁眼,6
愁绪满怀,6
感鬼神,6
慢藏诲盗,6
慨然许诺,6
慷他人之慨,6
成也萧何败也萧何,6
成己成物,6
戴天履地,6
戴罪图功,6
打铁趁热,6
批逆鳞,6
承上起下,6
承学之士,6
抑郁不平,6
投河觅井,6
投降卖国,6
抛在九霄云外,6
报应不爽,6
押寨夫人,6
拆东补西,6
拖人下水,6
拙嘴笨舌,6
拱肩缩背,6
拳不离手,6
拿下马来,6
拿刀动杖,6
指东话西,6
指日高升,6
挑三捡四,6
挨门串户,6
捉衿见肘,6
掘墓鞭尸,6
推诚相待,6
推诚相见,6
推食食我,6
措置失当,6
揆情度理,6
援古证今,6
揽镜自照,6
搔到痒处,6
摆臭架子,6
摇天动地,6
擅作威福,6
擎天一柱,6
改弦易张,6
改往修来,6
敌国外患,6
敛声屏息,6
敢不从命,6
敢怒敢言,6
整年累月,6
整饬纪律,6
文恬武嬉,6
文章魁首,6
斧凿之痕,6
斩将搴旗,6
新愁旧恨,6
方枘圆凿,6
方生方死,6
方言俗语,6
旋转乾坤,6
无一不备,6
无事自扰,6
无以成江海,6
无偏无党,6
无冬无夏,6
无古无今,6
无可捉摸,6
无名之朴,6
无名鼠辈,6
无巧不巧,6
无所可用,6
无所逃于天地之间,6
无敌天下,6
无病而死,6
无端生事,6
日削月,6
日月合璧,6
旦复旦兮,6
早起早睡,6
时穷节乃见,6
昂然直入,6
明抢暗偷,6
明月之珠,6
明白了当,6
昏昏默默,6
昏聩无能,6
映带左右,6
春宵苦短,6
春捂秋冻,6
春梦婆,6
春深似海,6
春秋代序,6
春秋鼎盛,6
春耕夏耘,6
暗器伤人,6
暗通款曲,6
暴戾恣睢,6
暴虎冯河,6
暴风疾雨,6
曳尾涂中,6
月明如昼,6
月朗风清,6
有天没日,6
有女怀春,6
有幸有不幸,6
有情人都成眷属,6
有话即长,6
有错必究,6
望文生训,6
朝夕相聚,6
朝夕过从,6
期期以为不可,6
未敢苟同,6
未知可否,6
本固枝荣,6
杀敌致果,6
杀生害命,6
杂而不乱,6
李下之嫌,6
杜渐防萌,6
束书不观,6
束手旁观,6
束缊请火,6
束装就道,6
来说是非者,6
枵腹从公,6
染于苍则苍,6
染于黄则黄,6
柔肠百结,6
栖栖惶惶,6
栖栖皇皇,6
格不相入,6
桃李满门,6
桑榆之年,6
桑榆晚景,6
桑间濮上,6
桴鼓相应,6
梦魂颠倒,6
楚楚可人,6
欢欣若狂,6
款款而谈,6
正言若反,6
步亦步,6
武断专横,6
死亦瞑目,6
死而不朽,6
残杯冷炙,6
每饭不忘,6
比权量力,6
比肩继踵,6
比葫芦画瓢,6
民不堪命,6
民族至上,6
民贵君轻,6
气冲斗,6
气冲斗牛,6
气大伤身,6
水中望月,6
水满金山,6
水火相济,6
水磨工夫,6
水软山温,6
永存不朽,6
汉官威仪,6
沉着勇敢,6
沉着痛快,6
沐雨栉风,6
没有金钢钻,6
没死没活,6
沦于敌手,6
沦肌浃髓,6
河水让路,6
泄漏天机,6
泣下沾襟,6
洋洋盈耳,6
洒扫应对,6
流星赶月,6
流水高山,6
流连不去,6
浊者自浊,6
浓荫蔽天,6
浮家泛宅,6
海晏河清,6
涅而不缁,6
涎皮涎脸,6
涕泗交流,6
淋漓痛快,6
淡而不厌,6
深仁厚泽,6
清锅冷灶,6
游说之士,6
渺无音信,6
溺于酒色,6
满口谎言,6
满身铜臭,6
漂泊无定,6
漏泄春光,6
漫天开价,6
漫天讨价,6
灾梨祸枣,6
烧香礼拜,6
烧香许愿,6
热心快肠,6
热汗涔涔,6
焦思苦虑,6
煮海为盐,6
熟读精思,6
爱别离苦,6
爱才若渴,6
牙尖嘴利,6
牛之一毛,6
牡丹虽好,6
物力维艰,6
狂蜂浪蝶,6
狂蹦乱跳,6
狐疑不决,6
狠心短命,6
独擅胜场,6
独行独断,6
狼多肉少,6
猜枚划拳,6
猫哭耗子,6
玉石不分,6
王公贵戚,6
王子犯法与庶民同罪,6
王小二过年,6
珊珊来迟,6
璧合珠联,6
瓜田不纳履,6
生子当如孙仲谋,6
生擒活拿,6
生死人,6
生编硬造,6
用在一时,6
用夷变夏,6
用管窥天,6
画影图形,6
畅叙幽情,6
畏之如虎,6
略窥一斑,6
疏财仗义,6
疑云密布,6
痛悔前非,6
白头如新,6
白手成家,6
白玉无瑕,6
白衣卿相,6
白首穷经,6
百世流芳,6
百回读,6
百炼千锤,6
盂方水方,6
盖有年矣,6
盛极必衰,6
目击耳闻,6
目无余子,6
目无全牛,6
直接渠道,6
相激相荡,6
相煎太急,6
眉皓发,6
看人行事,6
真知卓见,6
眷恋不舍,6
眼中之钉,6
眼急手快,6
眼观四面,6
瞎子点灯白费蜡,6
知之甚稔,6
知其为人,6
知无涯,6
知而不言,6
知错认错,6
矫若游龙,6
矮小精悍,6
破碎山河,6
破颜微笑,6
础润而雨,6
磨刀霍霍向猪羊,6
磨杵成针,6
社稷之臣,6
神光离合,6
神女生涯,6
神迷心醉,6
神采飘逸,6
禀性难移,6
福善祸淫,6
福慧双修,6
秀才半,6
秉烛夜游,6
秋后处决,6
秋色宜人,6
秋风落叶,6
秦庭之哭,6
积沙成塔,6
稳若泰山,6
穴居野处,6
穷寇勿追,6
穷寇莫追,6
空心汤圆,6
空舍清野,6
穿连裆裤,6
竭智尽力,6
竹报平安,6
笑不可仰,6
箭拔弩张,6
米珠薪桂,6
粗手笨脚,6
粗服乱头,6
素以为绚,6
累卵之危,6
繁有徒,6
红霞满天,6
纯一不杂,6
纸上空谈,6
终老是乡,6
经纶满腹,6
绝仁弃义,6
绝壁悬崖,6
绰有余地,6
绳锯木断,6
缄默无言,6
缙绅先生,6
缱绻之情,6
罚当其罪,6
罪业深重,6
羌无故实,6
羝羊触藩,6
羞人答答,6
羞愧不安,6
羞花闭月,6
群而不党,6
翘首企足,6
翩翩公子,6
翻山过岭,6
而寒于水,6
耍花枪,6
耕田而食,6
耿耿此心,6
聊以塞责,6
职是之故,6
联袂而至,6
肆行无忌,6
肌肤若冰雪,6
肝胆楚越,6
肩摩毂击,6
肩摩踵接,6
胆略过人,6
胡言乱道,6
胡诌乱扯,6
能写能算,6
能近取譬,6
脚不点地,6
自信不疑,6
自怨自叹,6
自我作古,6
自贬身价,6
至于此极,6
舍己为公,6
舍长就短,6
色如死灰,6
艳若桃李,6
节流开源,6
花容玉貌,6
花明柳暗,6
苍天保佑,6
茫然自失,6
草木同腐,6
菩萨低眉,6
落井投石,6
蓬断草枯,6
蕴藉含蓄,6
藏藏躲躲,6
虎踞龙蟠,6
蚁穴溃堤,6
蜗角虚名,6
蜚鸟尽,6
蝎蝎螫螫,6
血染沙场,6
血气之勇,6
血肉淋漓,6
血肉狼藉,6
血肉相关,6
街坊邻舍,6
衣冠齐楚,6
衣钵相传,6
装聋卖傻,6
见危授命,6
见木不见林,6
规矩方圆,6
解人颐,6
解衣衣我,6
解铃还是系铃人,6
触景伤怀,6
触目伤心,6
言之不文,6
言行如一,6
言词闪烁,6
誓同生死,6
议论蜂起,6
论世知人,6
识破机关,6
词严义正,6
话中有因,6
误国殃民,6
说到曹操,6
说媒拉纤,6
说短道长,6
说说道道,6
请人捉刀,6
请缨杀敌,6
谈古说今,6
谋生糊口,6
豁人耳目,6
豪商巨贾,6
豪门子弟,6
豺狼当道,6
负屈含冤,6
贤人君子,6
败兴而返,6
质胜文则野,6
贪婪无厌,6
贫嘴恶舌,6
贫嘴滑舌,6
赤诚相待,6
赫赫声名,6
越级提升,6
足食足兵,6
跃马横刀,6
跑马观花,6
蹈其覆辙,6
身名俱泰,6
身教胜于言教,6
转嗔为喜,6
转败为功,6
软玉温香,6
软磨硬抗,6
软语温存,6
轻若鸿毛,6
轻裘缓带,6
辗转不寐,6
过而能改,6
还淳反朴,6
进德修业,6
进贤黜佞,6
进退无门,6
远水不救近火,6
违心之言,6
连二赶三,6
连天烽火,6
连珠妙语,6
追奔逐北,6
送君千里,6
送暖偷寒,6
逃出重围,6
逗留不进,6
通家之好,6
逞凶肆虐,6
逸闻琐事,6
逸闻轶事,6
遂事不谏,6
遍及天下,6
道路以目,6
道高德重,6
遗祸无穷,6
遗簪坠屦,6
遗臭万载,6
遵养时晦,6
醉眼惺忪,6
里外夹攻,6
重利盘剥,6
重岩叠嶂,6
重熙累洽,6
野人献曝,6
野心不死,6
野无遗贤,6
金印紫绶,6
金吾不禁,6
金相玉质,6
金迷纸醉,6
金马碧鸡,6
钱可通神,6
钻牛犄角,6
铜浇铁铸,6
铜雀春深,6
铭心镂骨,6
锋芒外露,6
长空万里,6
门户之争,6
闲云孤鹤,6
阅人多矣,6
阒寂无声,6
防君子不防小人,6
阴风怒号,6
附赘悬,6
陌路相逢,6
